SiteID,Month,SetTime,EndTime,Hours,Weather,TrapType,TrapNumber,IsEmpty,IsCompromised,Species,TotalNumber,NumMales,NumFemales,Male1,Male2,Male3,Male4,Male5,Male6,Male7,Male8,Male9,Male10,Female1,Female2,Female3,Female4,Female5,Female6,Female7,Female8,Female9,Female10,Mortalities,Gravid,WSGNotes,MonitorNotes,EGCID
3,June,6/20/17 11:00,6/21/17 10:46,23.77,Clear,Fukui,1,Y,N,EMPTY,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,August,8/5/20 13:40,8/6/20 12:13,22.55,Clouds,Minnow,3,N,N,HEOR,248,218,30,18,26,20,21,18,18,13,23,18,24,17,19,13,18,24,21,18,14,19,18,9,3,,? Feminized',
581,May,5/19/22 16:18,5/20/22 13:12,20.9,Clouds,Minnow,2,N,N,LEAR,57,,,,,,,,,,,,,,,,,,,,,,,0,,,+1 small jelly',
3,June,6/20/17 11:00,6/21/17 10:46,23.77,Clear,Minnow,1,N,N,LEAR,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,
3,June,6/20/17 11:00,6/21/17 10:46,23.77,Clear,Fukui,2,Y,N,EMPTY,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,April,4/6/22 17:50,4/7/22 9:37,15.78333333,Clouds,Fukui,2,N,N,HEOR,2,2,0,19,21,,,,,,,,,,,,,,,,,,,0,,,1 Amphipod found swimming in bin,
330,April,4/6/22 17:50,4/7/22 9:37,15.78333333,Clouds,Fukui,2,N,N,MEMA,2,2,0,62,68,,,,,,,,,,,,,,,,,,,0,,,1 Amphipod found swimming in bin,
3,June,6/20/17 11:00,6/21/17 10:46,23.77,Clear,Minnow,2,N,N,LEAR,5,,,,,,,,,,,,,,,,,,,,,,,0,,,,
330,April,4/6/22 17:50,4/7/22 9:37,15.78333333,Clouds,Fukui,2,N,N,PAHI,2,,,,,,,,,,,,,,,,,,,,,,,0,,,1 Amphipod found swimming in bin,
330,April,4/6/22 17:50,4/7/22 9:37,15.78333333,Clouds,Minnow,2,N,N,HEOR,2,2,0,20,22,,,,,,,,,,,,,,,,,,,0,,,1 Amphipod found swimming in bin,
3,June,6/20/17 11:00,6/21/17 10:46,23.77,Clear,Minnow,3,N,N,LEAR,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,
3,July,7/11/17 13:30,7/12/17 13:40,24.17,Clear,Fukui,1,Y,N,EMPTY,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,July,7/11/17 13:30,7/12/17 13:40,24.17,Clear,Minnow,1,N,N,CYAG,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,
3,July,7/11/17 13:30,7/12/17 13:40,24.17,Clear,Minnow,1,N,N,GAAC,93,,,,,,,,,,,,,,,,,,,,,,,0,,,,
380,April,4/16/21 14:15,4/17/21 14:15,24,Clear,Minnow,1,N,N,BUBB,2,,,,,,,,,,,,,,,,,,,,,,,0,,,1 anemone; 2 bubble snails,
3,July,7/11/17 13:30,7/12/17 13:40,24.17,Clear,Fukui,2,Y,N,EMPTY,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,July,7/19/23 15:30,7/20/23 11:00,19.5,Clear,Fukui,3,N,N,PAMA,1,,,,,,,,,,,,,,,,,,,,,,,0,,,"1 bagged, No photo for F3",
606,September,9/13/23 10:14,9/14/23 7:15,21.01666667,Clouds,Minnow,1,N,N,HEOR,104,81,23,25,26,25,23,25,25,24,18,26,23,17,22,21,21,20,20,20,22,22,18,0,0,,"1 CAMA male 89mm on outside of M1 trap, WACO.2023.210",
3,July,7/11/17 13:30,7/12/17 13:40,24.17,Clear,Minnow,2,N,N,LEAR,2,,,,,,,,,,,,,,,,,,,,,,,0,,,,
3,May,5/10/23 17:11,5/11/23 13:30,20.31666667,Clear,Minnow,3,N,N,GAAC,40,,,,,,,,,,,,,,,,,,,,,,,1,,,1 consumed GAAC in trap.,
529,August,8/9/23 9:30,8/10/23 7:38,22.13333333,Clouds,Fukui,3,N,N,HEOR,3,2,1,17,17,,,,,,,,,,,,,,,,,,,1,0,,"1 dead female that was not measured,  Start soaking 11:50am, end soaking 2:45am",
361,April,4/4/22 12:20,4/5/22 13:15,24.91666667,Clouds,Fukui,1,N,N,HEOR,2,1,1,21,,,,,,,,,,16,,,,,,,,,,1,0,,1 dead female,
367,July,7/19/23 15:30,7/20/23 11:00,19.5,Clear,Minnow,2,N,N,HEOR,35,21,14,23,20,16,22,21,19,21,18,22,21,22,22,19,16,17,19,20,14,17,15,1,0,,1 dead female,
3,July,7/11/17 13:30,7/12/17 13:40,24.17,Clear,Minnow,3,N,N,LEAR,2,,,,,,,,,,,,,,,,,,,,,,,0,,,,
3,August,8/7/17 11:05,8/8/17 11:08,24.05,Clear,Fukui,1,Y,N,EMPTY,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,August,8/9/23 9:30,8/10/23 7:38,22.13333333,Clouds,Minnow,1,N,N,HEOR,75,63,12,16,17,17,17,14,20,18,22,17,15,15,11,15,15,12,16,14,14,12,12,1,0,,"1 dead female, Start soaking 11:50am, end soaking 2:45am",
529,August,8/9/23 9:30,8/10/23 7:38,22.13333333,Clouds,Minnow,2,N,N,HEOR,94,82,12,21,15,20,17,17,15,15,16,16,15,15,17,13,10,14,13,15,15,12,13,1,0,,"1 dead female, Start soaking 11:50am, end soaking 2:45am",
3,August,8/7/17 11:05,8/8/17 11:08,24.05,Clear,Fukui,2,Y,N,EMPTY,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,September,9/13/23 10:43,9/14/23 10:27,23.73333333,Clouds,Minnow,3,N,N,HEOR,150,119,31,22,23,21,20,16,22,16,21,21,23,19,22,16,15,15,16,9,12,14,12,1,0,,1 dead male,
153,May,5/4/22 13:21,5/5/22 13:25,24.06666667,HeavyRain,Minnow,2,N,N,HEOR,20,16,4,19,20,14,21,21,13,18,14,14,19,16,16,13,13,,,,,,,1,0,,1 dead male,
3,August,8/7/17 11:05,8/8/17 11:08,24.05,Clear,Fukui,3,Y,N,EMPTY,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,June,6/23/22 11:20,6/24/22 10:48,23.46666667,Clear,Minnow,1,N,N,HEOR,52,12,40,19,10,15,17,15,16,12,14,15,18,17,15,16,13,18,14,13,10,14,12,1,0,,1 dead male,
382,September,9/14/23 9:27,9/15/23 9:51,24.4,Clear,Fukui,1,N,N,HEOR,6,6,0,24,21,22,23,24,22,,,,,,,,,,,,,,,1,0,,"1 dead male,  Soaking 9/14 3:05pm-10:35pm and 9/15 2:10am-8:40am",
3,August,8/7/17 11:05,8/8/17 11:08,24.05,Clear,Minnow,3,N,N,LEAR,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,
382,August,8/10/23 8:49,8/11/23 6:20,21.51666667,Clear,Minnow,1,N,N,HEOR,111,93,18,13,20,20,15,17,20,14,15,15,14,13,20,12,15,17,15,14,13,15,13,1,0,,"1 dead male, Start soaking 12:30, end soaking 3:35am",
606,June,6/2/22 12:45,6/3/22 7:30,18.75,LightRain,Fukui,1,N,N,SAND,1,,,,,,,,,,,,,,,,,,,,,,,0,0,,1 fell out into water,
600,July,7/17/23 9:28,7/18/23 8:00,22.53333333,Clear,Fukui,2,Y,N,EMPTY,,,,,,,,,,,,,,,,,,,,,,,,,,,1 female 39mm CAMA hand capture on 7/17/23.,
138,July,7/28/23 7:57,7/29/23 7:54,23.95,Clear,Minnow,3,N,N,HEOR,10,6,4,15,15,16,15,18,20,,,,,17,17,18,12,,,,,,,1,0,,1 female dead 17mm,
3,September,9/18/17 10:50,9/19/17 10:45,23.92,Clouds,Minnow,2,N,N,GAAC,2,,,,,,,,,,,,,,,,,,,,,,,0,,,,
153,May,5/10/23 15:17,5/11/23 15:15,23.96666667,Clear,Minnow,1,N,N,HEOR,68,58,10,22,20,19,22,19,14,18,15,13,11,13,14,18,11,14,15,13,13,17,,0,0,,"1 female dropped, it got away and we could not find it, so no size for the 10th female.",
508,April,4/22/23 12:45,4/23/23 12:05,23.33333333,Clouds,Fukui,1,Y,N,EMPTY,,,,,,,,,,,,,,,,,,,,,,,,,,,1 female HEOR molt inside trap,
138,September,9/12/23 13:17,9/13/23 12:34,23.28333333,LightRain,Minnow,2,N,N,HEOR,3,3,0,18,14,14,,,,,,,,,,,,,,,,,,0,0,,1 feminized male 14mm,
3,June,6/20/23 14:30,6/21/23 10:32,20.03333333,Clouds,Minnow,2,N,N,HEOR,39,31,8,17,17,16,16,19,19,17,17,16,19,11,17,14,19,16,18,16,11,,,0,0,,1 feminized male,
3,April,4/16/18 11:53,4/17/18 12:00,24.11666667,LightRain,Fukui,1,Y,N,EMPTY,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,June,6/20/23 14:30,6/21/23 10:32,20.03333333,Clouds,Minnow,3,N,N,HEOR,87,76,11,13,23,22,24,23,14,17,19,19,17,19,18,18,20,16,15,17,18,17,16,0,0,,1 feminized male,
3,April,4/16/18 11:53,4/17/18 12:00,24.11666667,LightRain,Minnow,1,N,N,HEOR,5,4,1,17,17,20,16,,,,,,,16,,,,,,,,,,0,0,,,
3,April,4/16/18 11:53,4/17/18 12:00,24.11666667,LightRain,Fukui,2,Y,N,EMPTY,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,April,4/16/18 11:53,4/17/18 12:00,24.11666667,LightRain,Minnow,2,N,N,HENU,1,0,1,,,,,,,,,,,23,,,,,,,,,,0,0,,,
3,April,4/16/18 11:53,4/17/18 12:00,24.11666667,LightRain,Minnow,2,N,N,HEOR,15,14,1,21,16,17,22,18,17,23,15,12,20,19,,,,,,,,,,0,0,,,
3,April,4/16/18 11:53,4/17/18 12:00,24.11666667,LightRain,Fukui,3,Y,N,EMPTY,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,April,4/16/18 11:53,4/17/18 12:00,24.11666667,LightRain,Minnow,3,N,N,HEOR,9,8,1,20,23,18,22,10,18,18,17,,,14,,,,,,,,,,0,0,,,
3,May,5/14/18 12:05,5/15/18 9:58,21.88333333,Clear,Fukui,1,N,N,HEOR,1,0,1,17,,,,,,,,,,,,,,,,,,,,0,0,,,
3,May,5/14/18 12:05,5/15/18 9:58,21.88333333,Clear,Minnow,1,N,N,GAAC,15,,,,,,,,,,,,,,,,,,,,,,,0,,,,
3,May,5/14/18 12:05,5/15/18 9:58,21.88333333,Clear,Minnow,1,N,N,HENU,2,2,0,18,21,,,,,,,,,,,,,,,,,,,0,0,,,
3,May,5/14/18 12:05,5/15/18 9:58,21.88333333,Clear,Minnow,1,N,N,HEOR,100,87,13,20,13,20,20,17,19,22,24,18,20,18,16,16,17,18,17,20,14,15,14,0,0,,,
3,May,5/14/18 12:05,5/15/18 9:58,21.88333333,Clear,Fukui,2,Y,N,EMPTY,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,May,5/14/18 12:05,5/15/18 9:58,21.88333333,Clear,Minnow,2,N,N,GAAC,4,,,,,,,,,,,,,,,,,,,,,,,0,,,,
3,May,5/14/18 12:05,5/15/18 9:58,21.88333333,Clear,Minnow,2,N,N,HEOR,36,27,9,19,16,20,19,23,20,21,17,22,18,18,19,13,12,17,9,15,11,12,,0,0,,,
3,May,5/14/18 12:05,5/15/18 9:58,21.88333333,Clear,Minnow,2,N,N,LEAR,7,,,,,,,,,,,,,,,,,,,,,,,0,,,,
3,May,5/14/18 12:05,5/15/18 9:58,21.88333333,Clear,Fukui,3,N,N,HEOR,2,1,1,10,,,,,,,,,,8,,,,,,,,,,0,0,,,
3,May,5/14/18 12:05,5/15/18 9:58,21.88333333,Clear,Minnow,3,N,N,GAAC,3,,,,,,,,,,,,,,,,,,,,,,,0,,,,
3,May,5/14/18 12:05,5/15/18 9:58,21.88333333,Clear,Minnow,3,N,N,HEOR,16,11,5,19,23,14,22,12,16,17,18,12,15,11,20,21,21,12,,,,,,0,0,,,
3,May,5/14/18 12:05,5/15/18 9:58,21.88333333,Clear,Minnow,3,N,N,LEAR,7,,,,,,,,,,,,,,,,,,,,,,,0,,,,
3,June,6/11/18 10:25,6/12/18 9:04,22.65,Clouds,Fukui,1,Y,N,EMPTY,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,June,6/11/18 10:25,6/12/18 9:04,22.65,Clouds,Minnow,1,N,N,GAAC,48,,,,,,,,,,,,,,,,,,,,,,,11,,,,
3,June,6/11/18 10:25,6/12/18 9:04,22.65,Clouds,Minnow,1,N,N,HEOR,9,7,2,19,15,12,19,15,17,16,,,,11,16,,,,,,,,,0,0,,,
3,June,6/11/18 10:25,6/12/18 9:04,22.65,Clouds,Minnow,1,N,N,LEAR,10,,,,,,,,,,,,,,,,,,,,,,,0,,,,
3,June,6/11/18 10:25,6/12/18 9:04,22.65,Clouds,Fukui,2,N,N,LOBE,1,0,1,,,,,,,,,,,22,,,,,,,,,,0,0,,,
3,June,6/11/18 10:25,6/12/18 9:04,22.65,Clouds,Minnow,2,N,N,GAAC,35,,,,,,,,,,,,,,,,,,,,,,,0,,,,
3,June,6/11/18 10:25,6/12/18 9:04,22.65,Clouds,Minnow,2,N,N,HENU,1,0,1,,,,,,,,,,,14,,,,,,,,,,0,0,,,
3,June,6/11/18 10:25,6/12/18 9:04,22.65,Clouds,Minnow,2,N,N,HEOR,13,13,0,16,19,13,11,15,12,18,14,17,14,,,,,,,,,,,0,0,,,
3,June,6/11/18 10:25,6/12/18 9:04,22.65,Clouds,Minnow,2,N,N,LEAR,21,,,,,,,,,,,,,,,,,,,,,,,0,,,,
3,June,6/11/18 10:25,6/12/18 9:04,22.65,Clouds,Fukui,3,N,N,HEOR,1,0,1,,,,,,,,,,,17,,,,,,,,,,1,0,,,
3,June,6/11/18 10:25,6/12/18 9:04,22.65,Clouds,Minnow,3,N,N,GAAC,18,,,,,,,,,,,,,,,,,,,,,,,0,,,,
3,June,6/11/18 10:25,6/12/18 9:04,22.65,Clouds,Minnow,3,N,N,HEOR,37,37,0,25,23,27,19,16,19,20,16,14,16,,,,,,,,,,,0,0,,,
3,June,6/11/18 10:25,6/12/18 9:04,22.65,Clouds,Minnow,3,N,N,LEAR,17,,,,,,,,,,,,,,,,,,,,,,,0,,,,
3,July,7/31/18 14:00,8/1/18 13:00,23,Clear,Fukui,1,N,N,HENU,1,0,1,,,,,,,,,,,30,,,,,,,,,,0,0,,,
3,July,7/31/18 14:00,8/1/18 13:00,23,Clear,Fukui,1,N,N,HEOR,2,1,1,16,,,,,,,,,,18,,,,,,,,,,0,0,,,
3,July,7/31/18 14:00,8/1/18 13:00,23,Clear,Fukui,1,N,N,LEAR,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,
3,July,7/31/18 14:00,8/1/18 13:00,23,Clear,Minnow,1,N,N,GAAC,10,,,,,,,,,,,,,,,,,,,,,,,2,,,,
3,July,7/31/18 14:00,8/1/18 13:00,23,Clear,Minnow,1,N,N,HENU,2,2,0,20,21,,,,,,,,,,,,,,,,,,,0,0,,,
3,July,7/31/18 14:00,8/1/18 13:00,23,Clear,Minnow,1,N,N,HEOR,49,41,8,19,16,22,21,20,19,21,19,17,20,23,15,16,15,15,17,16,18,,,0,0,,,
3,July,7/31/18 14:00,8/1/18 13:00,23,Clear,Minnow,1,N,N,LEAR,2,,,,,,,,,,,,,,,,,,,,,,,0,,,,
3,July,7/31/18 14:00,8/1/18 13:00,23,Clear,Fukui,2,N,N,HEOR,1,1,0,18,,,,,,,,,,,,,,,,,,,,0,0,,,
3,July,7/31/18 14:00,8/1/18 13:00,23,Clear,Minnow,2,N,N,HENU,2,2,0,21,21,,,,,,,,,,,,,,,,,,,0,0,,,
3,July,7/31/18 14:00,8/1/18 13:00,23,Clear,Minnow,2,N,N,HEOR,42,38,4,20,21,20,20,16,17,18,17,21,16,19,18,19,17,,,,,,,0,0,,,
3,July,7/31/18 14:00,8/1/18 13:00,23,Clear,Fukui,3,N,N,HEOR,2,1,1,18,,,,,,,,,,17,,,,,,,,,,0,0,,,
3,July,7/31/18 14:00,8/1/18 13:00,23,Clear,Minnow,3,N,N,HENU,9,5,4,21,20,18,23,20,,,,,,19,19,18,21,,,,,,,0,0,,,
3,July,7/31/18 14:00,8/1/18 13:00,23,Clear,Minnow,3,N,N,HEOR,55,44,11,17,20,18,20,17,19,20,21,18,16,17,16,16,19,16,19,17,15,14,16,0,0,,,
3,July,7/31/18 14:00,8/1/18 13:00,23,Clear,Minnow,3,N,N,LEAR,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,
311,August,8/23/22 9:10,8/24/22 9:00,23.83333333,FogMist,Minnow,3,N,N,HEOR,209,196,13,17,23,20,20,21,20,23,20,21,21,21,17,16,17,15,20,17,17,20,18,0,0,,1 feminized male,
311,April,4/20/23 9:15,4/21/23 9:00,23.75,Clouds,Minnow,1,N,N,HEOR,124,116,8,21,19,17,22,19,16,18,22,16,17,18,19,18,18,18,16,15,14,,,0,0,,1 feminized male,
361,August,8/12/22 12:30,8/13/22 12:00,23.5,Clouds,Minnow,3,N,N,HEOR,177,126,51,15,22,22,16,21,15,15,19,16,21,17,15,17,18,17,15,13,16,12,16,0,0,,1 feminized male,
362,May,5/11/22 9:15,5/12/22 9:30,24.25,Clouds,Minnow,1,N,N,HEOR,36,30,6,20,11,22,12,17,22,17,18,22,13,20,19,18,24,11,18,,,,,0,0,,1 feminized male,
383,May,5/18/23 8:21,5/19/23 9:10,24.81666667,FogMist,Minnow,1,N,N,HEOR,100,92,8,23,29,22,21,25,22,20,23,18,20,19,14,19,16,14,13,15,16,,,0,1,,1 feminized male,
383,May,5/18/23 8:21,5/19/23 9:10,24.81666667,FogMist,Fukui,2,N,N,HEOR,7,6,1,22,25,25,24,22,22,,,,,25,,,,,,,,,,0,0,,1 feminized male,
384,September,9/11/23 8:30,9/12/23 9:10,24.66666667,Clouds,Minnow,1,N,N,HEOR,232,164,68,20,22,25,21,20,25,19,27,18,29,20,19,21,22,24,22,17,20,21,21,0,0,,1 feminized male,
508,August,8/13/22 14:05,8/14/22 13:15,23.16666667,Clear,Minnow,2,N,N,HEOR,92,75,17,19,16,24,19,20,18,17,18,20,21,15,18,16,15,15,16,16,16,15,15,0,0,,1 feminized male,
508,August,8/13/22 14:05,8/14/22 13:15,23.16666667,Clear,Minnow,3,N,N,HEOR,101,85,16,19,25,14,18,15,14,25,17,18,18,15,16,14,15,13,17,15,19,14,17,0,0,,1 feminized male,
553,June,6/15/23 12:03,6/16/23 9:02,20.98333333,Clear,Minnow,1,N,N,HEOR,16,15,1,17,21,20,16,17,13,13,16,18,17,16,,,,,,,,,,0,0,,1 feminized male,
579,May,5/18/22 16:50,5/19/22 9:50,17,Clouds,Minnow,3,N,N,HEOR,85,63,22,18,25,20,20,20,21,18,18,20,17,16,22,20,17,19,20,20,21,23,18,0,0,,1 feminized male,
579,June,6/16/22 17:45,6/17/22 11:00,17.25,Clouds,Fukui,2,N,N,HEOR,158,148,10,20,20,24,23,22,24,24,23,22,21,22,21,21,20,20,21,22,19,20,20,0,1,,1 feminized male,
579,June,6/16/22 17:45,6/17/22 11:00,17.25,Clouds,Minnow,3,N,N,HEOR,161,128,33,20,17,19,20,22,22,21,25,25,23,17,16,21,20,13,18,22,19,19,20,0,1,,1 feminized male,
3,September,9/18/18 11:00,9/19/18 9:15,22.25,Clear,Fukui,1,N,N,HENU,3,3,0,31,21,27,,,,,,,,,,,,,,,,,,0,0,,,
3,September,9/18/18 11:00,9/19/18 9:15,22.25,Clear,Fukui,1,N,N,HEOR,5,4,1,18,22,26,22,,,,,,,20,,,,,,,,,,0,0,,,
3,September,9/18/18 11:00,9/19/18 9:15,22.25,Clear,Fukui,1,N,N,LEAR,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,
3,September,9/18/18 11:00,9/19/18 9:15,22.25,Clear,Minnow,1,N,N,HENU,2,2,0,24,21,,,,,,,,,,,,,,,,,,,0,0,,,
3,September,9/18/18 11:00,9/19/18 9:15,22.25,Clear,Minnow,1,N,N,HEOR,18,13,5,16,22,22,22,22,16,21,18,18,17,17,16,20,15,16,,,,,,0,0,,,
3,September,9/18/18 11:00,9/19/18 9:15,22.25,Clear,Fukui,2,N,N,HENU,1,1,0,23,,,,,,,,,,,,,,,,,,,,0,0,,,
3,September,9/18/18 11:00,9/19/18 9:15,22.25,Clear,Fukui,2,N,N,HEOR,1,0,1,,,,,,,,,,,21,,,,,,,,,,0,0,,,
3,September,9/18/18 11:00,9/19/18 9:15,22.25,Clear,Minnow,2,N,N,HENU,1,1,0,25,,,,,,,,,,,,,,,,,,,,0,0,,,
3,September,9/18/18 11:00,9/19/18 9:15,22.25,Clear,Minnow,2,N,N,HEOR,12,10,2,19,20,21,22,16,18,22,17,14,15,14,16,,,,,,,,,0,0,,,
3,September,9/18/18 11:00,9/19/18 9:15,22.25,Clear,Fukui,3,N,N,HEOR,10,9,1,23,22,20,23,22,21,21,19,21,,21,,,,,,,,,,0,0,,,
3,September,9/18/18 11:00,9/19/18 9:15,22.25,Clear,Fukui,3,N,N,LEAR,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,
3,September,9/18/18 11:00,9/19/18 9:15,22.25,Clear,Minnow,3,N,N,HEOR,31,23,8,18,26,16,20,18,17,21,23,20,19,20,17,15,11,13,18,15,11,,,0,0,,,
3,April,4/17/19 9:52,4/18/19 9:03,23.18333333,Clouds,Fukui,1,N,N,HEOR,2,0,2,,,,,,,,,,,24,22,,,,,,,,,0,0,,,
3,April,4/17/19 9:52,4/18/19 9:03,23.18333333,Clouds,Minnow,1,N,N,BROK,5,,,,,,,,,,,,,,,,,,,,,,,0,,,,
3,April,4/17/19 9:52,4/18/19 9:03,23.18333333,Clouds,Minnow,1,N,N,GAAC,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,
3,April,4/17/19 9:52,4/18/19 9:03,23.18333333,Clouds,Minnow,1,N,N,HECR,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,
3,April,4/17/19 9:52,4/18/19 9:03,23.18333333,Clouds,Minnow,1,N,N,HEOR,3,2,1,20,24,,,,,,,,,16,,,,,,,,,,0,0,,,
3,April,4/17/19 9:52,4/18/19 9:03,23.18333333,Clouds,Minnow,1,N,N,LEAR,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,
3,April,4/17/19 9:52,4/18/19 9:03,23.18333333,Clouds,Fukui,2,Y,N,EMPTY,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,April,4/17/19 9:52,4/18/19 9:03,23.18333333,Clouds,Minnow,2,N,N,BROK,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,
3,April,4/17/19 9:52,4/18/19 9:03,23.18333333,Clouds,Minnow,2,N,N,HEOR,6,6,0,21,23,16,12,14,14,,,,,,,,,,,,,,,0,0,,,
3,April,4/17/19 9:52,4/18/19 9:03,23.18333333,Clouds,Fukui,3,N,N,PAHI,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,
3,April,4/17/19 9:52,4/18/19 9:03,23.18333333,Clouds,Minnow,3,N,N,HECR,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,
3,April,4/17/19 9:52,4/18/19 9:03,23.18333333,Clouds,Minnow,3,N,N,HEOR,6,6,0,19,20,17,21,20,18,,,,,,,,,,,,,,,0,0,,,
3,May,5/21/19 11:21,5/22/19 11:00,23.65,Clouds,Fukui,1,N,N,LEAR,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,
3,May,5/21/19 11:21,5/22/19 11:00,23.65,Clouds,Minnow,1,N,N,HEOR,98,91,7,21,16,18,18,21,20,15,16,15,18,19,14,10,19,16,19,14,,,,0,0,,,
3,May,5/21/19 11:21,5/22/19 11:00,23.65,Clouds,Minnow,1,N,N,LEAR,4,,,,,,,,,,,,,,,,,,,,,,,0,,,,
3,May,5/21/19 11:21,5/22/19 11:00,23.65,Clouds,Fukui,2,N,N,HEOR,1,1,0,24,,,,,,,,,,,,,,,,,,,,0,0,,,
3,May,5/21/19 11:21,5/22/19 11:00,23.65,Clouds,Minnow,2,N,N,HEOR,83,79,4,21,25,20,17,22,19,18,22,18,24,20,17,18,17,,,,,,,0,0,,,
3,May,5/21/19 11:21,5/22/19 11:00,23.65,Clouds,Fukui,3,N,N,HEOR,3,1,2,17,,,,,,,,,,17,18,,,,,,,,,0,0,,,
3,May,5/21/19 11:21,5/22/19 11:00,23.65,Clouds,Minnow,3,N,N,GAAC,3,,,,,,,,,,,,,,,,,,,,,,,1,,,,
3,May,5/21/19 11:21,5/22/19 11:00,23.65,Clouds,Minnow,3,N,N,HEOR,46,44,2,17,16,20,20,20,14,20,16,20,22,22,18,,,,,,,,,0,0,,,
3,May,5/21/19 11:21,5/22/19 11:00,23.65,Clouds,Minnow,3,N,N,LEAR,11,,,,,,,,,,,,,,,,,,,,,,,0,,,,
3,June,6/12/19 10:30,6/13/19 9:20,22.83333333,Clear,Fukui,1,N,N,HEOR,1,0,1,,,,,,,,,,,21,,,,,,,,,,0,0,,,
3,June,6/12/19 10:30,6/13/19 9:20,22.83333333,Clear,Minnow,1,N,N,GAAC,11,,,,,,,,,,,,,,,,,,,,,,,0,,,,
