Effort_Type,Date_Deployed,Date_Retrieved,StartTime_Deployed,EndTime_Deployed,StartTime_Retrieved,EndTime_Retrieved,Weather,Personnel,Management_Area,Waterbody,Site_ID,Site_Name,Index,DistanceMouth,Site_Info,County,Trap_Effort,Trap_Type,Trap_Number,Trap_Info,Bait,Latitude,Longitude,Date_Checked,Year,CAMA_Total,CAMA_Male,CAMA_Female,HEOR,LEAR,HENU,GAAC,CYAG,MEMA,PAHI,PAGR,COAS,OLMA,FLAT,PLST,BAAT,NASS,BROK,SAND,BUBB,ILOB,JELL,TECH,ELFS,MEGR,CAPR,PAMA Present,PAMA,Other_Bycatch,Mortalities,Notes,Data_Source,TrackedChanges
Grid Survey,8/23/21,8/25/21,15:00,15:30,11:30,13:50,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,California Creek,,,Grid Survey; Creek Zone; C5,Whatcom,120,Minnow,131-P,-,Mackerel,48.951367,-122.715711,8/24/21,2021,0,0,0,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,Present,,PAMA-X,-,-,WDFW,
Grid Survey,8/23/21,8/25/21,15:00,15:30,11:30,13:50,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,California Creek,,,Grid Survey; Creek Zone; C6,Whatcom,120,Fukui,19-P,-,Mackerel,48.949803,-122.711455,8/24/21,2021,0,0,0,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Present,,PAMA-X,-,-,WDFW,
Grid Survey,8/23/21,8/25/21,15:00,15:30,11:30,13:50,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,California Creek,,,Grid Survey; Creek Zone; C6,Whatcom,120,Minnow,1198-B,-,Mackerel,48.949869,-122.711472,8/24/21,2021,0,0,0,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,Present,,PAMA-X,-,-,WDFW,
Grid Survey,8/23/21,8/25/21,15:00,15:30,11:30,13:50,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,California Creek,,,Grid Survey; Creek Zone; C6,Whatcom,120,Minnow,1136-Y,-,Mackerel,48.94976,-122.711235,8/24/21,2021,0,0,0,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Present,,PAMA-X,-,-,WDFW,
Grid Survey,8/23/21,8/25/21,15:00,15:30,11:30,13:50,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,California Creek,,,Grid Survey; Creek Zone; C6,Whatcom,120,Minnow,1387-P,-,Mackerel,48.949803,-122.711696,8/24/21,2021,0,0,0,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Present,,PAMA-X,-,-,WDFW,
Grid Survey,8/23/21,8/25/21,15:00,15:30,11:30,13:50,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,California Creek,,,Grid Survey; Creek Zone; C6,Whatcom,120,Minnow,1179-B,-,Mackerel,48.950013,-122.711858,8/24/21,2021,0,0,0,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,Present,,PAMA-X,-,-,WDFW,
Grid Survey,8/23/21,8/25/21,16:21,16:40,11:30,13:50,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,California Creek,,,Grid Survey; Creek Zone; C1,Whatcom,120,Minnow,1596-P,-,Mackerel,48.960946,-122.734046,8/25/21,2021,0,0,0,X,X,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Present,,PAMA-X,-,-,WDFW,
Grid Survey,8/23/21,8/25/21,16:21,16:40,11:30,13:50,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,California Creek,,,Grid Survey; Creek Zone; C1,Whatcom,120,Fukui,1363-G,-,Mackerel,48.961076,-122.734139,8/25/21,2021,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,Present,,PAMA-X,-,-,WDFW,
Grid Survey,8/23/21,8/25/21,16:21,16:40,11:30,13:50,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,California Creek,,,Grid Survey; Creek Zone; C1,Whatcom,120,Minnow,377-R,-,Mackerel,48.961227,-122.734251,8/25/21,2021,0,0,0,-,X,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Present,,PAMA-X,-,-,WDFW,
Grid Survey,8/23/21,8/25/21,16:21,16:40,11:30,13:50,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,California Creek,,,Grid Survey; Creek Zone; C1,Whatcom,120,Minnow,188-P,-,Mackerel,48.961435,-122.734363,8/25/21,2021,0,0,0,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Present,,PAMA-X,-,-,WDFW,
Grid Survey,8/23/21,8/25/21,16:21,16:40,11:30,13:50,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,California Creek,,,Grid Survey; Creek Zone; C1,Whatcom,120,Fukui,567-R,-,Mackerel,48.961583,-122.73438,8/25/21,2021,0,0,0,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Present,,PAMA-X,-,-,WDFW,
Grid Survey,8/23/21,8/25/21,16:21,16:40,11:30,13:50,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,California Creek,,,Grid Survey; Creek Zone; C1,Whatcom,120,Minnow,151-Y,-,Mackerel,48.961696,-122.734265,8/25/21,2021,0,0,0,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Present,,PAMA-X,-,-,WDFW,
Grid Survey,8/23/21,8/25/21,16:21,16:40,11:30,13:50,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,California Creek,,,Grid Survey; Creek Zone; C1,Whatcom,120,Fukui,1304-G,-,Mackerel,48.961747,-122.734117,8/25/21,2021,0,0,0,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,Present,,PAMA-X,-,-,WDFW,
Grid Survey,8/23/21,8/25/21,16:21,16:40,11:30,13:50,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,California Creek,,,Grid Survey; Creek Zone; C1,Whatcom,120,Minnow,89-P,-,Mackerel,48.961808,-122.733894,8/25/21,2021,0,0,0,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Present,,PAMA-X,-,-,WDFW,
Grid Survey,8/23/21,8/25/21,16:21,16:40,11:30,13:50,Sunny,Collaborative Effort,North Puget Sound,Drayton Harbor,N/A,California Creek,,,Grid Survey; Creek Zone; C2,Whatcom,120,Minnow,129-P,-,Mackerel,48.958929,-122.734183,8/25/21,2021,0,0,0,X,-,X,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,Present,,PAMA-X,-,-,WDFW,
