Index,SiteID,Year,trap.sets,total.pama,CPUE
185,306,2020,36,0,0
186,306,2021,36,0,0
187,306,2022,36,0,0
188,306,2023,36,0,0
189,306,2024,36,0,0
190,308,2018,30,0,0
191,308,2019,36,0,0
192,308,2020,30,0,0
193,308,2021,18,0,0
194,308,2022,24,0,0
195,308,2023,34,0,0
196,308,2024,36,0,0
197,311,2015,12,0,0
198,311,2016,33,0,0
199,311,2017,36,0,0
200,311,2018,35,0,0
201,311,2019,36,0,0
202,311,2020,36,0,0
203,311,2021,36,0,0
204,311,2022,36,0,0
205,311,2023,36,0,0
206,311,2024,36,0,0
207,322,2017,36,0,0
208,322,2018,36,0,0
209,322,2019,36,0,0
210,322,2020,36,0,0
211,322,2021,36,0,0
212,322,2022,36,0,0
213,322,2023,36,0,0
214,322,2024,36,0,0
215,323,2016,36,0,0
216,323,2017,36,0,0
217,323,2018,36,0,0
218,323,2019,36,0,0
219,323,2020,30,0,0
220,323,2021,36,0,0
221,323,2022,36,0,0
222,323,2023,36,0,0
223,323,2024,36,0,0
224,330,2016,36,0,0
225,330,2017,36,0,0
226,330,2018,35,0,0
227,330,2019,36,0,0
228,330,2020,36,0,0
229,330,2021,35,0,0
230,330,2022,36,0,0
231,330,2023,36,0,0
232,330,2024,36,0,0
233,341,2016,12,0,0
234,341,2017,30,0,0
235,341,2018,36,0,0
236,341,2019,36,0,0
237,341,2020,18,0,0
238,341,2021,36,0,0
239,341,2022,35,0,0
240,341,2023,36,0,0
241,341,2024,36,0,0
242,349,2017,36,0,0
243,349,2018,28,0,0
244,349,2019,36,0,0
245,349,2020,30,0,0
246,349,2021,36,0,0
247,349,2022,30,0,0
248,349,2023,36,0,0
249,349,2024,29,0,0
250,361,2017,27,0,0
251,361,2018,36,0,0
252,361,2019,36,0,0
253,361,2020,36,0,0
254,361,2021,36,0,0
255,361,2022,36,0,0
256,361,2023,35,0,0
257,361,2024,36,0,0
275,371,2017,36,0,0
276,371,2018,36,0,0
277,371,2019,36,0,0
278,371,2022,30,0,0
279,371,2023,30,0,0
280,371,2024,36,0,0
281,378,2017,36,0,0
282,378,2018,36,0,0
283,378,2019,36,0,0
284,378,2020,29,0,0
285,378,2021,36,0,0
287,378,2023,36,0,0
288,378,2024,36,0,0
289,379,2017,36,0,0
290,379,2018,36,0,0
291,379,2019,35,0,0
292,379,2020,30,0,0
293,379,2021,36,0,0
294,379,2022,36,0,0
295,379,2023,36,0,0
296,379,2024,36,0,0
297,380,2017,34,0,0
298,380,2018,30,0,0
299,380,2019,36,0,0
300,380,2020,36,0,0
301,380,2021,36,0,0
302,380,2022,35,0,0
303,380,2023,36,0,0
304,380,2024,35,0,0
305,381,2017,35,0,0
306,381,2018,36,0,0
307,382,2017,36,0,0
308,382,2018,36,0,0
309,382,2019,36,0,0
310,382,2020,31,0,0
311,382,2021,35,0,0
312,382,2022,36,0,0
313,382,2023,36,0,0
314,382,2024,36,0,0
315,383,2017,18,0,0
316,383,2018,36,0,0
317,383,2019,36,0,0
318,383,2020,36,0,0
319,383,2021,36,0,0
320,383,2022,36,0,0
321,383,2023,36,0,0
322,383,2024,36,0,0
323,384,2017,14,0,0
324,384,2018,36,0,0
325,384,2019,36,0,0
326,384,2020,36,0,0
327,384,2021,36,0,0
328,384,2022,36,0,0
329,384,2023,36,0,0
330,384,2024,33,0,0
331,385,2018,36,0,0
332,385,2019,36,0,0
333,385,2020,36,0,0
334,385,2021,36,0,0
335,385,2022,36,0,0
336,385,2023,36,0,0
337,385,2024,35,0,0
338,386,2019,36,0,0
339,386,2020,24,0,0
344,503,2017,24,0,0
345,508,2015,12,0,0
346,508,2016,36,0,0
347,508,2017,36,0,0
348,508,2018,35,0,0
349,508,2019,36,0,0
350,508,2020,36,0,0
351,508,2021,36,0,0
352,508,2022,36,0,0
353,508,2023,36,0,0
354,508,2024,36,0,0
355,515,2022,4,0,0
356,516,2015,12,0,0
357,516,2016,35,0,0
358,516,2017,34,0,0
359,516,2018,36,0,0
360,516,2019,36,0,0
361,516,2020,36,0,0
363,516,2022,36,0,0
365,516,2024,36,0,0
366,526,2022,36,0,0
367,526,2023,36,0,0
368,526,2024,36,0,0
369,527,2017,34,0,0
370,527,2018,36,0,0
371,527,2019,36,0,0
372,527,2020,36,0,0
373,527,2021,36,0,0
374,527,2022,36,0,0
375,527,2023,36,0,0
376,527,2024,36,0,0
377,528,2017,30,0,0
378,528,2018,36,0,0
379,528,2019,36,0,0
380,528,2020,30,0,0
381,528,2021,36,0,0
383,528,2023,36,0,0
385,529,2019,35,0,0
386,529,2020,30,0,0
387,529,2021,36,0,0
391,533,2016,35,0,0
392,533,2017,36,0,0
393,533,2018,35,0,0
394,533,2019,36,0,0
395,533,2020,36,0,0
396,533,2021,35,0,0
397,533,2022,35,0,0
398,533,2023,36,0,0
399,533,2024,36,0,0
400,536,2016,36,0,0
401,536,2017,36,0,0
402,536,2018,36,0,0
403,536,2019,36,0,0
404,536,2020,35,0,0
405,536,2021,36,0,0
406,536,2022,35,0,0
407,536,2023,36,0,0
408,536,2024,34,0,0
409,540,2017,30,0,0
410,540,2018,36,0,0
411,540,2019,36,0,0
412,540,2020,30,0,0
413,540,2021,36,0,0
414,540,2022,36,0,0
415,540,2023,36,0,0
416,540,2024,36,0,0
417,541,2017,30,0,0
418,541,2018,12,0,0
419,541,2019,18,0,0
420,541,2020,12,0,0
421,541,2021,36,0,0
422,541,2022,36,0,0
423,541,2023,36,0,0
424,541,2024,30,0,0
425,541,0,6,0,0
426,552,2016,36,0,0
427,552,2017,29,0,0
428,552,2018,36,0,0
429,552,2019,35,0,0
430,552,2020,30,0,0
431,552,2021,37,0,0
432,552,2022,36,0,0
433,552,2023,35,0,0
434,552,2024,36,0,0
435,553,2016,30,0,0
436,553,2017,35,0,0
437,553,2018,36,0,0
438,553,2019,36,0,0
439,553,2020,30,0,0
440,553,2021,36,0,0
441,553,2022,35,0,0
442,553,2023,36,0,0
443,553,2024,36,0,0
444,566,2015,12,0,0
445,579,2016,6,0,0
446,579,2017,21,0,0
447,579,2018,34,0,0
448,579,2019,36,0,0
449,579,2020,29,0,0
450,579,2021,30,0,0
451,579,2022,36,0,0
452,579,2023,36,0,0
453,579,2024,36,0,0
454,581,2016,24,0,0
455,581,2017,24,0,0
456,581,2018,36,0,0
457,581,2019,36,0,0
458,581,2020,30,0,0
459,581,2021,30,0,0
460,581,2022,36,0,0
461,581,2023,36,0,0
462,581,2024,36,0,0
463,590,2016,36,0,0
464,590,2017,36,0,0
465,590,2018,36,0,0
466,590,2019,36,0,0
467,590,2020,30,0,0
468,590,2021,36,0,0
469,590,2022,36,0,0
470,590,2023,36,0,0
471,590,2024,36,0,0
472,599,2017,24,0,0
475,599,2020,36,0,0
480,600,2020,12,0,0
481,600,2021,30,0,0
482,600,2022,36,0,0
483,600,2023,36,0,0
484,600,2024,36,0,0
485,601,2020,12,0,0
486,601,2021,40,0,0
487,601,2022,36,0,0
488,601,2023,36,0,0
489,601,2024,36,0,0
490,602,2020,12,0,0
491,602,2021,30,0,0
492,602,2022,36,0,0
493,602,2023,36,0,0
494,602,2024,36,0,0
495,603,2020,12,0,0
496,603,2021,36,0,0
497,603,2022,36,0,0
498,603,2023,35,0,0
499,603,2024,36,0,0
500,604,2020,12,0,0
501,604,2021,6,0,0
502,604,2022,36,0,0
503,604,2023,34,0,0
504,604,2024,35,0,0
505,605,2021,36,0,0
506,605,2022,35,0,0
507,605,2023,36,0,0
508,605,2024,36,0,0
509,606,2021,36,0,0
510,606,2022,34,0,0
511,606,2023,36,0,0
512,606,2024,36,0,0
513,607,2021,38,0,0
514,607,2022,30,0,0
515,607,2023,36,0,0
516,608,2021,36,0,0
517,609,2021,36,0,0
518,609,2022,36,0,0
519,609,2023,36,0,0
520,609,2024,36,0,0
521,610,2022,36,0,0
522,610,2023,36,0,0
523,610,2024,36,0,0
524,611,2023,33,0,0
525,611,2024,34,0,0
526,612,2024,36,0,0
